source,filename,old_label,old_status,old_engine,old_score,old_evidence,new_label,new_status,new_score,new_runner_up_score,new_layer,new_evidence,changed
/Users/billcipher/Documents/7 . Chuyên KHTN HÀ NỘI - [Thi thử Tốt Nghiệp THPT 2026 Môn VẬT LÝ ].docx.pdf,7 . Chuyên KHTN HÀ NỘI - [Thi thử Tốt Nghiệp THPT 2026 Môn VẬT LÝ ].docx,Vat_ly,subject,filename,145.0,filename:vat ly x1=40.0; filename:mon vat ly x1=45.0; filename_alias:vat ly x1=30.0; filename_alias:mon vat ly x1=30.0,Vat_ly,subject,133.8,0.0,accented,accented:môn vật lý x1=74.8; accented:vật lý x1=59.0,False
/Users/billcipher/Documents/7. EBOOK 360 ĐỘ LÍ THUYẾT VẬT LÍ 12.pdf,7. EBOOK 360 ĐỘ LÍ THUYẾT VẬT LÍ 12,Vat_ly,subject,filename,70.0,filename:vat li x1=40.0; filename_alias:vat li x1=30.0,Vat_ly,subject,59.0,0.0,accented,accented:vật lí x1=59.0,False
/Users/billcipher/Documents/7. HĐ ĐẶT CỌC MẪU 1062025.docx,7. HĐ ĐẶT CỌC MẪU 1062025,_Khong_phai_mon_hoc,non_subject,docx,88.0,body:hop dong x47=423.0; body:bien ban x2=16.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/7. N7. TIẾN HÓA-HS.pdf,7. N7. TIẾN HÓA-HS,Sinh_hoc,subject,pdfplumber,732.0,body:sinh hoc x7=112.0; body:ma di truyen x1=14.0; body:phien ma x1=13.0; body:dich ma x1=13.0; body:dot bien nhiem sac the x3=45.0; body:nhiem sac the x12=168.0; body:kieu hinh x3=33.0; body:dong hop x1=10.0; body:chon loc tu nhien x9=117.0; body:tien hoa sinh hoc x1=13.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/795298386-Bộ-Cau-Hỏi-VD-VDC-On-Thi-THPTQG-Mon-Toan-File-Đề.pdf,795298386-Bộ-Cau-Hỏi-VD-VDC-On-Thi-THPTQG-Mon-Toan-File-Đề,Toan,subject,filename,70.0,filename:mon toan x1=40.0; filename_alias:mon toan x1=30.0,Toan,subject,90.28,0.0,accentless,accentless:mon toan x1=54.3; accentless:toan x1=36.0,False
/Users/billcipher/Documents/795298536-Đap-An-Tư-Duy-Nhiệt-VL-VNA.pdf,795298536-Đap-An-Tư-Duy-Nhiệt-VL-VNA,Vat_ly,subject,pdfplumber,102.0,body:vat li x1=16.0; body:dien tro x3=27.0; body:nhiet luong x5=45.0; body:mo hinh dong hoc phan tu x1=14.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BAI 10 TUAN HOAN O DONG VAT.pdf,BAI 10 TUAN HOAN O DONG VAT,Sinh_hoc,subject,pdfplumber,110.0,body:he tuan hoan x11=110.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BAI 14 KHAI QUAT VE CAM UNG O SINH VAT.pdf,BAI 14 KHAI QUAT VE CAM UNG O SINH VAT,_Can_kiem_tra,conflict,pdfplumber,35.0,body:mang te bao x1=12.0; body:quang hop x1=13.0; body:he than kinh x1=10.0,Sinh_hoc,subject,36.0,0.0,accentless,accentless:sinh x1=36.0,True
/Users/billcipher/Documents/BÀI 12.docx,BÀI 12,Lich_su,subject,docx,167.0,body:lich su x4=64.0; body:vuong trieu x1=10.0; body:thuc dan phap x3=39.0; body:nha nguyen x1=10.0; body:lien hop quoc x1=10.0; body:su hoc x1=10.0; body:bao ve to quoc x1=11.0; body:chu quyen bien dao x1=13.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BÀI 19.pdf,BÀI 19,Vat_ly,subject,pdfplumber,11.0,body:phong xa x1=11.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BÀI 22.pdf,BÀI 22,_Khong_xac_dinh,unknown,pdfplumber,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/BÀI 24.pdf,BÀI 24,Sinh_hoc,subject,pdfplumber,39.0,body:nguyen phan x1=13.0; body:giam phan x1=13.0; body:chu ki te bao x1=13.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BÀI-TẬP-CHUYÊN-ĐỀ-QUY-HOẠCH-ĐỘNG.pdf,BÀI-TẬP-CHUYÊN-ĐỀ-QUY-HOẠCH-ĐỘNG,Tin_hoc,subject,pdfplumber,84.0,body:thuat toan x3=42.0; body:do phuc tap thuat toan x3=42.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BÁO CÁO NGHIÊN CỨU KHOA HỌC KỸ THUẬT 02 .pdf,BÁO CÁO NGHIÊN CỨU KHOA HỌC KỸ THUẬT 02 ,Tin_hoc,subject,pdfplumber,418.0,body:tin hoc x2=32.0; body:lap trinh x6=78.0; body:ngon ngu lap trinh x1=14.0; body:thuat toan x2=28.0; body:python x4=44.0; body:cau truc du lieu x1=14.0; body:co so du lieu x4=52.0; body:html x2=20.0; body:tin hoc ung dung x1=14.0; body:tri tue nhan tao x1=14.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BỘ GIÁO DỤC VÀ ĐÀO TẠO.docx,BỘ GIÁO DỤC VÀ ĐÀO TẠO,Tieng_Anh,subject,docx,90.0,body:tieng anh x1=18.0; body:mark the letter x6=60.0; body:opposite in meaning x1=12.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/BT số lần bom vl 12 chuong 2. .pdf,BT số lần bom vl 12 chuong 2. ,Vat_ly,subject,pdfplumber,72.0,body:vat ly x1=16.0; body:dien tich x7=56.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bai 17 Cam ung o dong vat (1).pdf,Bai 17 Cam ung o dong vat (1),Sinh_hoc,subject,pdfplumber,155.0,body:te bao nhan thuc x1=13.0; body:mang te bao x6=72.0; body:he tieu hoa x1=10.0; body:he than kinh x6=60.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bai 17 Cam ung o dong vat.pdf,Bai 17 Cam ung o dong vat,Sinh_hoc,subject,pdfplumber,155.0,body:te bao nhan thuc x1=13.0; body:mang te bao x6=72.0; body:he tieu hoa x1=10.0; body:he than kinh x6=60.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bai 20.pdf,Bai 20,Ngu_van,subject,pdfplumber,65.0,body:thanh phan cau x1=10.0; body:tuồng x5=55.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bai 25 Sinh san o thuc vat.pdf,Bai 25 Sinh san o thuc vat,Sinh_hoc,subject,pdfplumber,262.0,body:sinh hoc x4=64.0; body:nhan te bao x1=12.0; body:nguyen phan x4=52.0; body:giam phan x6=78.0; body:nhiem sac the x3=42.0; body:bo nhiem sac the luong boi x1=14.0,Sinh_hoc,subject,36.0,0.0,accentless,accentless:sinh x1=36.0,False
/Users/billcipher/Documents/Bai 27 Sinh san o dong vat.pdf,Bai 27 Sinh san o dong vat,Sinh_hoc,subject,pdfplumber,171.0,body:nguyen phan x2=26.0; body:giam phan x3=39.0; body:nhiem sac the x4=56.0; body:bo nhiem sac the luong boi x2=28.0; body:he than kinh x1=10.0; body:enzyme x1=12.0,Sinh_hoc,subject,36.0,0.0,accentless,accentless:sinh x1=36.0,False
/Users/billcipher/Documents/Bai cham_12T1. 12T4. lần 1. hs1 chung_14-1-2026.pdf,Bai cham_12T1. 12T4. lần 1. hs1 chung_14-1-2026,_Khong_xac_dinh,unknown,pdfplumber,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/Bai cham_12T1.4 lan 2-3_14-1-2026 (1).pdf,Bai cham_12T1.4 lan 2-3_14-1-2026 (1),_Khong_xac_dinh,unknown,pdfplumber,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/Bai cham_12T1.4 lan 2-3_14-1-2026.pdf,Bai cham_12T1.4 lan 2-3_14-1-2026,_Khong_xac_dinh,unknown,pdfplumber,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/Bai cham_GK 2- K12_17-3-2026.pdf,Bai cham_GK 2- K12_17-3-2026,_Khong_xac_dinh,unknown,pdfplumber,0.0,,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,False
/Users/billcipher/Documents/Bai cham_Hoá 11 HK2_12-5-2025.pdf,Bai cham_Hoá 11 HK2_12-5-2025,_Khong_xac_dinh,unknown,pdfplumber,0.0,,Hoa_hoc,subject,38.0,0.0,accented,accented:hoá x1=38.0,True
/Users/billcipher/Documents/Bao_Cao_So_Lieu.docx,Bao_Cao_So_Lieu,Toan,subject,docx,296.0,body:thong ke x4=40.0; body:trung vi x2=20.0; body:tu phan vi x9=99.0; body:phuong sai x4=44.0; body:do lech chuan x3=33.0; body:mau so lieu x6=60.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bao_Cao_So_Lieu.pdf,Bao_Cao_So_Lieu,Toan,subject,pdfplumber,286.0,body:thong ke x4=40.0; body:trung vi x2=20.0; body:tu phan vi x9=99.0; body:phuong sai x4=44.0; body:do lech chuan x3=33.0; body:mau so lieu x5=50.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 1.docx,Bài 1,Lich_su,subject,docx,825.0,body:lich su x4=64.0; body:lich su the gioi x1=14.0; body:chien tranh the gioi x5=65.0; body:chien tranh lanh x4=56.0; body:trat tu the gioi hai cuc x1=14.0; body:lien hop quoc x54=540.0; body:asean x6=72.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 18.pdf,Bài 18,Hoa_hoc,subject,pdfplumber,32.0,body:hoa hoc x2=32.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 2.docx,Bài 2,Lich_su,subject,docx,830.0,body:lich su x1=16.0; body:cach mang thang tam x1=15.0; body:lich su the gioi x1=14.0; body:chien tranh the gioi x6=78.0; body:cach mang cong nghiep x1=12.0; body:phong trao giai phong dan toc x1=14.0; body:chien tranh lanh x12=168.0; body:trat tu the gioi hai cuc x28=392.0; body:lien hop quoc x4=40.0; body:hoi nghi ianta x2=28.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 4.docx,Bài 4,Lich_su,subject,docx,2287.0,body:lich su x4=64.0; body:chien tranh the gioi x1=13.0; body:chien tranh lanh x9=126.0; body:trat tu the gioi hai cuc x1=14.0; body:lien hop quoc x3=30.0; body:asean x170=2040.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 5 (1).docx,Bài 5 (1),Lich_su,subject,docx,1712.0,body:lich su x2=32.0; body:asean x140=1680.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 5.docx,Bài 5,Ngu_van,subject,docx,352.0,body:tuồng x32=352.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài 7 CUỘC KHÁNG CHIẾN CHỐNG THỰC DÂN PHÁP.docx,Bài 7 CUỘC KHÁNG CHIẾN CHỐNG THỰC DÂN PHÁP,Lich_su,subject,filename,32.5,filename:thuc dan phap x1=32.5,Lich_su,subject,59.84,0.0,accentless,accentless:thuc dan phap x1=59.8,False
/Users/billcipher/Documents/Bài Nghị Luận - Ý Kiến Trái Ngược .pdf,Bài Nghị Luận - Ý Kiến Trái Ngược ,Ngu_van,subject,pdfplumber,55.0,body:tuồng x5=55.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI) (1).docx,Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI) (1),Ngu_van,subject,docx,120.0,body:kich noi x1=10.0; body:tuồng x2=22.0; body:bi kich x8=88.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI) (2).docx,Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI) (2),Ngu_van,subject,docx,153.0,body:kich noi x1=10.0; body:tuồng x2=22.0; body:bi kich x11=121.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI) (2).pdf,Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI) (2),Ngu_van,subject,pdfplumber,153.0,body:kich noi x1=10.0; body:tuồng x2=22.0; body:bi kich x11=121.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI).docx,Bài thuyết trình nghị luận về một bức tranh nổi tiếng(NGOẠI LAI),Ngu_van,subject,docx,76.0,body:kich noi x1=10.0; body:tuồng x1=11.0; body:bi kich x5=55.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Báo cáo nghiên cứu  KHKT_02.pdf,Báo cáo nghiên cứu  KHKT_02,Tin_hoc,subject,pdfplumber,343.0,body:tin hoc x2=32.0; body:lap trinh x4=52.0; body:ngon ngu lap trinh x1=14.0; body:thuat toan x2=28.0; body:python x4=44.0; body:cau truc du lieu x1=14.0; body:co so du lieu x3=39.0; body:html x2=20.0; body:tin hoc ung dung x1=14.0; body:tri tue nhan tao x1=14.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Báo cáo nghiên cứu về Chợ nổi Trà Ôn ..docx,Báo cáo nghiên cứu về Chợ nổi Trà Ôn .,Ngu_van,subject,docx,44.0,body:tuồng x4=44.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
/Users/billcipher/Documents/Bản sao (TỜ 71) 68 CÂU LÝ THUYẾT HÓA HỌC CHUYÊN BIỆT ESTER-ĐỀ.docx,Bản sao (TỜ 71) 68 CÂU LÝ THUYẾT HÓA HỌC CHUYÊN BIỆT ESTER-ĐỀ,Hoa_hoc,subject,filename,130.0,filename:hoa hoc x1=40.0; filename:ester x1=30.0; filename_alias:hoa x1=30.0; filename_alias:hoa hoc x1=30.0,Hoa_hoc,subject,64.9,0.0,accented,accented:hóa học x1=64.9,False
/Users/billcipher/Documents/Bo-20-de-thi-thu-TN-THPT-2025-Tin-hay.pdf,Bo-20-de-thi-thu-TN-THPT-2025-Tin-hay,Tin_hoc,subject,pdfplumber,519.0,body:tin hoc x4=64.0; body:mon tin x2=36.0; body:mon tin hoc x2=36.0; body:lap trinh x3=39.0; body:thuat toan x10=140.0; body:python x2=22.0; body:sap xep noi bot x3=39.0; body:co so du lieu x1=13.0; body:sql x1=11.0; body:khoa chinh x1=12.0,_Khong_xac_dinh,unknown,0.0,0.0,accentless,,True
